controlled_time_s,controlled_vc1_v,controlled_vc2_v,controlled_il_a,open_time_s,open_vc1_v,open_vc2_v,open_il_a
0.0276338844628794,10.9856522226246,19.2928,0.968745523762535,0.0276338844628794,8.02807568667345,19.9984691665534,0.975461730555137
0.0276360068631547,10.9856522226246,19.2928,0.966691638350714,0.0276360068631547,8.02807568667345,19.9984691665534,0.97339360578033
0.0276381292634299,10.9856522226246,19.2928,0.964642107483178,0.0276381292634299,8.02807568667345,19.9984691665534,0.971329865739387
0.0276402516637052,10.9856522226246,19.2928,0.962596921927643,0.0276402516637052,8.02807568667345,19.9984691665534,0.969270501136018
0.0276423740639805,10.9856522226246,19.2928,0.960556072471397,0.0276423740639805,8.02807568667345,19.9984691665534,0.967215502693641
0.0276444964642557,10.9856522226246,19.2928,0.958519549921261,0.0276444964642557,8.02807568667345,19.9984691665534,0.965164861155341
0.027646618864531,10.9856522226246,19.2928,0.956487345103547,0.027646618864531,8.02807568667345,19.9984691665534,0.963118567283829
0.0276487412648063,10.9856522226246,19.2928,0.954459448864017,0.0276487412648063,8.02807568667345,19.9984691665534,0.961076611861402
0.0276508636650815,10.9856522226246,19.2928,0.95243585206784,0.0276508636650815,8.02807568667345,19.9984691665534,0.959038985689899
0.0276529860653568,10.9856522226246,19.2928,0.950416545599552,0.0276529860653568,8.02807568667345,19.9984691665534,0.95700567959066
0.027655108465632,10.9856522226246,19.2928,0.948401520363019,0.027655108465632,8.02807568667345,19.9984691665534,0.954976684404487
0.0276572308659073,10.9856522226246,19.2928,0.946390767281386,0.0276572308659073,8.02807568667345,19.9984691665534,0.952951990991597
0.0276593532661826,10.9856522226246,19.2928,0.944384277297049,0.0276593532661826,8.02807568667345,19.9984691665534,0.95093159023159
0.0276614756664578,10.9856522226246,19.2928,0.942382041371601,0.0276614756664578,8.02807568667345,19.9984691665534,0.948915473023397
0.0276635980667331,10.9856522226246,19.2928,0.940384050485802,0.0276635980667331,8.02807568667345,19.9984691665534,0.94690363028525
0.0276657204670084,10.9856522226246,19.2928,0.938390295639534,0.0276657204670084,8.02807568667345,19.9984691665534,0.944896052954632
0.0276678428672836,10.9856522226246,19.2928,0.936400767851758,0.0276678428672836,8.02807568667345,19.9984691665534,0.942892731988241
0.0276699652675589,10.9856522226246,19.2928,0.934415458160479,0.0276699652675589,8.02807568667345,19.9984691665534,0.940893658361947
0.0276720876678342,10.9856522226246,19.2928,0.932434357622701,0.0276720876678342,8.02807568667345,19.9984691665534,0.938898823070756
0.0276742100681094,10.9856522226246,19.2928,0.930457457314388,0.0276742100681094,8.02807568667345,19.9984691665534,0.936908217128763
0.0276749490710871,10.9684608084301,19.2928,0.93058100850579,0.0276749490710871,8.01076715677614,19.9984691665534,0.936808513552525
0.0276756880740648,10.9512671241949,19.2928,0.930703198360899,0.0276756880740648,7.99346048004181,19.9984691665534,0.936707605065631
0.0276764270770425,10.934071195062,19.2928,0.93082402771861,0.0276764270770425,7.97615567872178,19.9984691665534,0.936605492695904
0.0276771660800202,10.9168730461588,19.2928,0.930943497419054,0.0276771660800202,7.95885277504838,19.9984691665534,0.936502177472054
0.0276779050829979,10.8996727025975,19.2928,0.931061608303597,0.0276779050829979,7.94155179123491,19.9984691665534,0.93639766042367
0.0276786440859756,10.8824701894743,19.2928,0.931178361214839,0.0276786440859756,7.92425274947566,19.9984691665534,0.936291942581221
0.0276793830889532,10.8652655318703,19.2928,0.93129375699661,0.0276793830889532,7.90695567194587,19.9984691665534,0.936185024976056
0.0276801220919309,10.8480587548507,19.2928,0.931407796493969,0.0276801220919309,7.88966058080169,19.9984691665534,0.936076908640396
