cycle,time_s,normalized_error,vc1_v,vc2_v,il_a
36619,10.473034,0.00126094200698521,9.91209460062915,19.293092871325,0.982271726727105
36732,10.505352,0.00121368430270756,9.91262485998622,19.2904157544838,0.982273019332648
36845,10.53767,0.00112829639518784,9.91368498677578,19.2879359702396,0.982275492280365
36958,10.569988,0.00101247714150189,9.91520925129113,19.2857593862874,0.982278994098662
37072,10.602592,0.00087661577061869,9.91713132326283,19.2839607673985,0.982283373174692
37186,10.635196,0.000739049579244556,9.91933800278841,19.2826304585342,0.982288372207858
37300,10.6678,0.000625054577142875,9.92171790510993,19.2818140975116,0.982293739699603
37415,10.70069,0.000565827200506877,9.92417669143609,19.2815319680573,0.982299263351733
37530,10.73358,0.000581705206590428,9.92657667386499,19.2817883621068,0.982304634294902
37646,10.766756,0.000657532744858269,9.92882553480782,19.2825617211733,0.982309646383933
37762,10.799932,0.000758265721635935,9.93080048701888,19.2837975393357,0.982314026435894
37878,10.833108,0.00085550635678047,9.93241658796407,19.285420988435,0.982317586905038
37994,10.866284,0.000931983201486726,9.93360893596611,19.2873412887602,0.982320185796324
38111,10.899746,0.000978394715540624,9.93433924535654,19.2894753610707,0.982321740490718
38229,10.933494,0.000989343820997125,9.93457609913104,19.2917163588764,0.982322184690044
38346,10.966956,0.000963966127597414,9.93432113069634,19.2939145739526,0.982321527857662
38464,11.000704,0.000904455157936629,9.93359972504603,19.2959996786974,0.982319829633162
38583,11.034738,0.000815816846205856,9.93245262616891,19.2978687144302,0.982317185356205
38701,11.068486,0.000708835638758624,9.93097019746194,19.2994061699232,0.982313802102014
38820,11.10252,0.000595708396131421,9.92921403814064,19.3005719152497,0.982309819534083
38940,11.13684,0.000497472922172284,9.92727620179524,19.3013107341754,0.982305446180706
39060,11.17116,0.000443196028964882,9.92527534206556,19.3015888937609,0.982300949376316
39180,11.20548,0.00045214529596358,9.92331584644721,19.3014084782785,0.982296563082036
39300,11.2398,0.000512337420730972,9.92149629989198,19.3007949121066,0.982292507344976
39421,11.274406,0.000594317600833166,9.9198925679208,19.2997850495938,0.982288950831254
39543,11.309298,0.000673349225634763,9.91858623789003,19.2984364663148,0.982286074232681
39664,11.343904,0.00073319881021053,9.91765541654142,19.296852874963,0.982284048649547
39786,11.378796,0.000766798988578648,9.91712070952144,19.2951006470942,0.982282917708832
39909,11.413974,0.000769980460244652,9.9170058001245,19.2932752123967,0.982282730811753
40031,11.448866,0.000742669833372436,9.91730345068299,19.291504513091,0.982283466773354
40155,11.48433,0.000686837099537261,9.91799458544855,19.2898404881437,0.982285080812241
40278,11.519508,0.000609437459791015,9.91901622500462,19.2884089658938,0.982287426849633
40402,11.554972,0.000518677859692897,9.9203169161822,19.2872567125807,0.982290387712813
40526,11.590436,0.000429511865524017,9.92180886264451,19.2864484709412,0.982293764049308
40651,11.626186,0.000362771876812678,9.92341684965221,19.2860137829721,0.982297386079231
40776,11.661936,0.0003431253675745,9.92503667091732,19.285970636765,0.982301019469933
40902,11.697972,0.000375506746993103,9.92659003879309,19.2863111572833,0.982304489001822
41028,11.734008,0.000437722110835939,9.92797954357098,19.2870038230709,0.982307577499005
41154,11.770044,0.000504293151991986,9.9291331508069,19.2879966346297,0.982310125471698
41280,11.80608,0.000559001402250006,9.92999475890732,19.2892226481749,0.982312009731439
41407,11.842402,0.000593248987257534,9.93052960507048,19.2906156596774,0.982313154903722
41535,11.87901,0.000602352470275315,9.93071162376389,19.292092924261,0.982313505754698
41663,11.915618,0.000585184973154313,9.9305381825466,19.2935555472532,0.982313060214467
41791,11.952226,0.000543828175553851,9.93003272799015,19.2949192651284,0.982311874116595
41919,11.988834,0.00048303274994122,9.92923707640088,19.2961087236324,0.982310044135266
42048,12.025728,0.000409954105265316,9.92819951649725,19.2970678902522,0.982307680707411
42178,12.062908,0.000336674893892839,9.92698548286453,19.297743332248,0.982304932611096
42308,12.100088,0.000282467969552119,9.92568123539802,19.2980973935445,0.98230199470441
42438,12.137268,0.000268122425439136,9.92436820184231,19.2981211965629,0.982299049896359
42568,12.174448,0.000296586515006964,9.92312522112809,19.2978259485345,0.982296274513417
42699,12.211914,0.000348228110272275,9.92201617176104,19.2972359968804,0.982293810830869
42831,12.249666,0.000401797906858164,9.92110678261004,19.2963923408361,0.982291804627348
42962,12.287132,0.000443319606864933,9.92045797820701,19.2953684568215,0.982290389651441
43095,12.32517,0.000466641845067588,9.92008833079311,19.2942101975372,0.982289605766236
43227,12.362922,0.000468153359766979,9.92002091383479,19.2930180475655,0.98228950080981
43360,12.40096,0.000447919672578163,9.92024715677758,19.291850269768,0.982290053308878
43494,12.439284,0.00040802724645998,9.92074766675371,19.2907801276381,0.982291216944724
43627,12.477322,0.000354123361309962,9.92147310767141,19.2898862881458,0.982292878055072
43762,12.515932,0.000293129788043466,9.92238649893596,19.2892012933817,0.982294952466608
43896,12.554256,0.000239241808336693,9.92340478977898,19.2887773940827,0.982297251950723
44031,12.592866,0.000209960968222767,9.9244730598851,19.2886253877028,0.982299652954973
44167,12.631762,0.000218511143283604,9.92552098537408,19.2887501625017,0.982301997620348
44303,12.670658,0.000255056503121988,9.92647337574646,19.2891345807208,0.982304118030142
44439,12.709554,0.000299228980701641,9.9272718172071,19.2897431442961,0.982305884593307
44576,12.748736,0.000337089987707851,9.92787386354861,19.2905334019329,0.982307203788346
44713,12.787918,0.000360665070156434,9.92824126668962,19.2914421019027,0.982307992312181
44851,12.827386,0.00036651351288931,9.92835905547635,19.2924112914014,0.982308218844417
44989,12.866854,0.00035382722169018,9.92822600226597,19.2933673213033,0.982307883486516
45127,12.906322,0.000324366107302445,9.92786122606658,19.2942464336945,0.982307031574845
45266,12.946076,0.000281764031692596,9.92729396115176,19.2949974334826,0.982305730637887
45405,12.98583,0.000232912202517531,9.92657292554181,19.295567876391,0.982304091936044
45545,13.02587,0.0001882491570849,9.92574747442704,19.2959279870597,0.98230222727987
45685,13.06591,0.000163875709157228,9.92488350568058,19.29605689566,0.982300285224333
45826,13.106236,0.000171078309894302,9.92403658798644,19.2959536672168,0.982298390393383
45967,13.146562,0.000201232735911265,9.92327128445814,19.2956334683147,0.982296686952983
46108,13.186888,0.000236834527018664,9.92263790511958,19.2951277476649,0.982295286482045
46250,13.2275,0.000266290401251168,9.92217282095044,19.2944746814011,0.982294269046766
46392,13.268112,0.000283221339308352,9.92190690621283,19.2937297160152,0.982293701720213
46535,13.30901,0.000285051104864022,9.9218511180975,19.292944197095,0.982293607079307
46678,13.349908,0.000271520569407775,9.92200314907207,19.2921812593827,0.982293977503982
46822,13.391092,0.000244364185275237,9.92234627942188,19.2914905674488,0.98229477358332
46966,13.432276,0.000207709306116932,9.92284700926894,19.2909248202228,0.982295918166871
47110,13.47346,0.000168306062365996,9.92346206264225,19.2905201034474,0.982297312829464
